ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1296,-0.678178479,0.336370568,-0.378021569,-0.042779658,-0.098387788,0.000509787,0.02325543,0.188433797,-0.106675058,0.083044311,0.102107226,-0.018892062,0.03038654
1395,0.304194744,-0.842079059,0.047149788,-0.23961763,0.521428469,0.233039986,-0.140845599,-0.348154887,0.139199578,0.305301145,-0.009254333,0.59163223,0.090954085
1424,-0.822983247,0.456038989,0.223215413,0.55892117,0.35503211,0.29388153,-0.442847024,-0.076012954,-0.052174247,-0.004010241,-0.021304507,-0.207205665,0.05460912
1463,-1.223102229,0.027255698,0.068700822,0.014222336,0.272911628,0.41343392,0.380608417,0.314223293,-0.154144699,-0.192622963,-0.157504378,0.173203096,-0.003111357
1464,-0.94802636,-0.658464836,-0.464079588,0.430575651,-0.544313182,-0.362118245,-0.217377786,-0.041153788,0.263191655,-0.026840667,0.100977942,0.001837249,0.154487625
1465,-0.526941151,0.044873362,-0.190603776,-0.058525124,0.481830689,-0.181091926,0.056653369,-0.011489131,0.105667073,-0.215678765,0.019686815,-0.098455209,-0.121717739
1466,0.483087883,0.324442325,-0.201858381,0.12674385,-0.115318545,0.217039141,0.014835334,0.12455583,-0.035981435,-0.098021907,-0.036455447,0.043803653,0.047935535
1490,-0.273857054,0.34321721,0.262499887,-0.123387555,-0.10278985,-0.060407287,0.077260203,0.330642081,-0.009107489,0.036708347,0.138740539,-0.065138666,0.20961671
1492,0.147565849,-0.101131416,0.073480942,0.247402327,-0.070487144,-0.219095848,0.377899912,0.168939318,0.135771304,0.302747999,-0.103121456,0.091343996,0.133751145
1493,-0.149560154,-0.128534068,0.165433182,0.144220698,-0.414985314,-0.234693322,0.128352298,-0.243234462,0.062109571,-0.043039156,0.02586546,0.014668389,-0.05724133
1494,-0.988468652,-0.126126626,0.460967706,-0.396729832,-0.083629628,0.166934338,-0.158531376,0.027395326,0.189387397,0.027225327,-0.158879626,-0.035390222,-0.001603441
1510,-0.788001201,0.484721783,-0.197289389,0.158917987,0.301049425,0.346423754,0.103156937,0.310002878,0.034488061,0.034525417,0.275828471,0.024664975,-0.270188846
1517,-0.741598803,0.306621459,-0.24345309,0.048637455,-0.232215675,-0.226269317,-0.17050878,0.075219043,-0.089019311,0.110108536,0.067119126,0.161403085,-0.069071041
1522,-0.524573508,0.736147422,0.655107149,0.341265598,0.184466179,0.040416646,-0.388190941,-0.017319126,-0.130739428,-0.261615332,-0.084189511,-0.139655344,-0.092677483
1523,-0.194574132,-0.150439118,0.259406597,0.086835446,0.304942,-0.482879916,-0.312260424,-0.047600988,0.178469019,0.005320118,-0.164998699,0.065549041,-0.019468497
1533,0.604478394,0.347453157,0.23495606,0.273587964,0.004910608,-0.068722207,0.143617023,-0.122473846,-0.13481167,-0.153130533,0.035831097,0.051421039,-0.03207495
1534,-0.011165213,0.593589458,-0.414266737,-0.25942765,-0.090730184,-0.22721828,0.115441011,0.269481327,0.156094981,-0.089105217,-0.266680097,-0.068408425,0.113447024
1537,-0.362990278,0.036139949,-0.54593924,0.199510627,-0.112114263,0.162314822,-0.127984397,-0.111928356,0.127443874,-0.117038114,-0.074169662,-0.012396624,0.167566422
1538,1.091866946,-0.516938116,0.189001828,-0.344100976,-0.234180357,-0.006604373,0.131605389,0.058347525,-0.043992466,0.023034553,0.024483338,0.081738858,-0.043053075
1539,-1.73970662,0.219667622,0.275534646,0.496028908,-0.094774979,0.013065266,0.231008323,-0.570990677,-0.11710582,0.014695891,0.251629783,-0.014814531,0.054096792
1543,-0.806670671,0.72934209,-0.813250703,-0.937277273,-0.259936543,0.007831699,0.001396345,0.099702117,-0.318320817,0.054710819,0.090194465,-0.094370934,-0.162210824
1544,0.016538165,-0.300876289,-0.392519514,0.152886572,0.27370238,-0.219843477,0.343492345,0.107989835,-0.042457601,-0.130291341,-0.063436482,-0.079813217,0.228385295
1545,0.283522875,0.182489943,0.188874602,-0.070310743,0.011801007,-0.250719338,0.048006925,-0.221005097,-0.171954567,-0.095318651,0.012290673,0.087610419,-0.004953911
