"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92"
"1296",-0.0382724295652917,-0.0201756992026453,-0.0196868675913255,-0.0101709596688526,0.000304701648036449,0.00503499897471103,-0.00620485334629343,-0.00390193903405706,0.00242900756058756,-0.000591087963631406,0.000614757291567615,-0.00249030374167971,0.00202225530259063,-0.00112597403294942,0.0006469697204359,-0.000806852820651687,-0.00134293601410091,-3.62842104714529e-05,0.0019122953316175,0.0027348771052677,0.00168772188335051,0.00207977998386401,-0.000119728086703182,0.000853337032104282,0.00246055629823059,-5.26088358868035e-06,-0.000907325374871766,0.00243479197415834,-0.00153308985818637,0.000863716528203143,0.00132617768309304,-0.000327029024525423,-0.000603333662183265,0.000260029743858049,-0.000269340530791623,0.000913562725593721,-8.40902427546349e-05,0.000490711861741482,0.000352056725783698,0.000561678469670497,0.00125446077994801,0.00100889378453783,-0.000675012833513324,0.000980808553676479,-6.17961793140653e-06,-0.00156514307055855,0.000166760912827097,-0.00121303875908814,-0.000401599515212316,0.000349820868647922,7.33119338186598e-05,-4.65218626629654e-06,0.000101622194930279,0.00052422082905106,0.000410243926548717,-0.000438005253900587,0.000516941341744019,-0.000275369443799195,0.000758654418523254,0.000778688358929499,-0.000309902311789964,-8.03100503523144e-05,0.000333385258625366,0.000227635009490416,0.000396985527223873,0.000633797379480859,0.000189565006614525,-1.32998075468592e-05,1.95714334720438e-05,-0.000110965093153176,-0.000105168901751633,0.000220771673816116,-2.91025383581775e-05,-1.80019963446273e-05,0.000264959627933789,-0.000311170499604401,-0.00014959993668059,-1.86231177875023e-05,3.43973523534853e-05,7.22459590292682e-05,3.72544183368623e-05,-5.16630036486036e-05,-1.71697680973201e-05,4.85604369911836e-05,1.81800180907341e-05,-1.27461181898579e-05,3.09247342081032e-05,3.39413307110844e-05,-2.50809541350802e-05,-3.01450815861577e-17,-1.05431091250863e-18,-3.20767896727096e-18
"1395",0.0158044077105879,0.052042205773481,0.0252607192766637,0.0336604852506594,-0.00835661306974293,0.0383081517042562,0.00485306992350582,0.0220314864643031,-0.00905998704080252,0.00436847789050713,0.00289071242393717,-0.00863613719500536,-0.00120793717363542,-0.00484983253396726,-0.000682332445725052,0.00440156406661883,-0.00239168296876786,-0.00383739783751987,0.000343999902136964,-0.00306414546752243,-0.00278598362238759,0.00326906896098153,-0.000994527960344774,-0.000917151953948132,0.00247843641793964,-0.00115746896446904,0.000486437919489983,0.00195303573951568,0.00211536776162002,0.00156588781195366,0.000168987194265773,-0.000884253431490825,0.000167345578711817,0.000584204335247792,-0.00107270497666771,0.00046401117548183,0.000134772815682995,0.000171050953352508,-0.000788718567525576,-0.000753149860973328,0.000744693858249522,-0.000862972323705836,-0.000403147798360152,-0.000404725023369542,9.7116666070757e-05,-0.000309226003567534,-0.000259351718420431,-0.000199835719148425,8.25653961400605e-05,-0.00059589927777916,0.000701523214371078,0.000493600035096396,-0.000726260719093359,-0.000136964772733666,9.19442619030713e-05,-0.000436012428016134,0.000244434353162768,0.000545127133579582,-0.000120511129359234,-4.81216665954649e-05,0.000157776939816128,-3.76144749072421e-06,-6.78144951390435e-06,9.94323495924993e-06,0.000288226152674987,-0.00013872311121743,0.000164503253451369,2.41448485666903e-05,-3.90413528764552e-05,4.91505217666125e-05,3.14257332126863e-05,-9.01410698743735e-05,0.000249651504965181,1.98427239258026e-05,1.64884591515509e-05,1.92868203370647e-06,8.93083881502734e-05,-2.95776019163532e-06,-2.23029661344858e-05,3.4851669818227e-05,1.34833233101222e-05,-1.74534613384688e-05,1.41599186724713e-05,-1.49447782692376e-05,-2.56949587093748e-05,8.36664793670233e-06,-1.52339790853602e-05,7.58550497305568e-06,-1.28264169151719e-05,-2.53597096954348e-17,6.03918860348698e-19,1.23661643206888e-17
"1424",-0.060745991541129,-0.025302969111121,0.00792956981714402,-0.00821668689052076,-0.0109398092052117,-0.00181348364717145,0.00539950976283006,-0.000311792062979268,-0.00807402330727947,0.00374661380299768,0.0066322634547516,-0.00519990721606256,0.000572132444654531,-0.00427252429714259,-0.000568891370174961,-0.00136403879165073,-0.00455791422431237,0.00276481914509591,-0.000909299841864538,0.0027709496906062,0.0064895509685646,-0.00123075119680431,-0.00296247427798572,-0.000275007754297896,0.00197984485291202,-0.00271741169590569,0.000148981530622842,-0.00145506297592746,-0.00163040194039436,-0.00119227476727488,0.00143534350340146,-0.000338166635355797,-0.00301250984595578,-0.000111268003014526,-0.00101234861962448,-0.00383178321762974,0.00123470893440621,8.15256476596503e-05,-9.02920542539072e-05,0.000338683558041102,0.00135651693906579,0.000627032463327835,0.000343808158431322,-0.000147522233493944,-0.000336568560507483,0.000975123094635109,0.000283363502611896,0.000975670031942267,0.00089952216151739,0.00110722163094541,0.000296491731888027,0.000406951083687436,0.000326327522322216,0.000552823273849581,0.0006289240193426,-0.00052060562865087,-4.4214645881747e-05,0.000356240699018331,-0.000592820066706398,0.000241861748729303,0.000210981312854761,0.000261901630008172,2.03252405495868e-05,0.000240220748167418,0.00014644391203738,-0.000147969550812777,1.31020444359769e-05,0.000133421452632636,-0.000174636918225538,8.91948028116026e-05,0.000187784830377035,-2.60416003615692e-05,-2.08753169788278e-05,-0.000154591148919186,7.40364018848057e-05,5.37123512645094e-05,1.90575028976794e-06,-9.24879181386695e-05,-0.000142438787033427,3.94639978349472e-05,0.000112036250090276,1.37762759231734e-05,-5.03417717357471e-05,8.71463896285501e-06,-6.07022691741606e-05,2.23154160675578e-05,2.84291747036827e-05,-6.68872198232562e-06,1.29594825371821e-05,5.63421567072197e-17,1.09940057903539e-19,-7.02738674713229e-18
"1463",-0.0757473691514847,-0.00138551186825695,0.0278186157445346,-0.00438984449482137,0.0284088865235031,-0.00271526868770131,0.00202284036882944,0.00447662827242708,0.0155697780982203,0.0154900262785429,0.00403459855083359,-0.00090631354828475,-0.00222112953567563,-0.00266395547919493,0.000958056078727543,-0.00305008731067571,-0.00140503043052903,-0.00556497658192415,-0.00496233660445688,0.00126667630038652,-0.00323740872273254,-0.00251364205371886,0.000653905660930623,0.00381917370225588,0.00102044755017852,0.00193273699531947,-0.00235875024888718,-0.000707084171538416,-0.000799641302548444,-0.00289612438876293,0.00030250332286407,-0.000469651007702649,-0.000751562923804045,6.01782649949378e-05,-0.00181399861781041,-0.000851818359120579,0.000245445275841865,-0.000245658804153646,-0.000877959217720395,-0.000761315322774669,-0.000430788452723248,0.000112438330450743,-0.000592703122432884,0.00136800514287624,-0.000604412441514972,0.000359663311226237,5.78710736764953e-06,-0.000892333751417328,0.000492371574229973,-0.000907037048029892,5.25085894538073e-05,-0.000541867283689396,-3.81203636229206e-05,0.000624898144647988,-0.000600317632425896,0.000242326049090951,-0.000395780909032537,0.000218442350147261,0.000371842356279147,1.69285856136595e-05,0.000113200666818337,0.000243154327378319,-7.62805263620229e-06,3.32766555697996e-05,-4.50571734278284e-05,3.20711526739106e-05,-0.000175753342040068,0.000435923035744695,4.91000729889844e-05,-8.56434176459094e-05,0.000253071488177805,0.000167770144871826,5.29525418504124e-05,4.81297455132774e-05,3.46814297340767e-05,7.24462694120808e-05,9.85947687447257e-06,-7.72053297874659e-05,-0.000116316065019386,7.72441989747068e-05,3.6857195120236e-06,-9.8606145804721e-05,3.73298005331044e-05,3.34879082758022e-05,1.35098138019438e-05,-1.59153607591797e-05,-3.36950988031497e-05,4.19102857209761e-06,-8.18906021650549e-06,1.8396068760149e-17,2.03345697287218e-18,-7.2464543294634e-18
"1464",-0.082099103548311,0.0277125150774367,-0.0772855886894836,-0.00503981126164781,-0.00940899811103734,0.00862987737295006,0.00181745781158407,0.00229459293838783,-0.00801044574295023,0.00206704417371661,-0.00156239422286365,-0.00250452087776132,-0.00575790853764844,-0.000314128642573639,0.003675655690107,0.000532973837119829,-0.00250404615259243,-0.00111739445230064,-0.000286276351653864,0.00238257874420714,0.00203599945150383,-0.00175287029326717,-0.00027694832322654,0.000355714948182839,-1.8718331140349e-05,0.00075062748660467,0.00145538752100511,0.000953518418551579,-0.00104661107170381,-0.00163949061191618,-0.000742779251852484,-0.00110991281796427,0.00104102845331708,-0.000766495821844479,-0.000899331595955409,0.000414822057654715,0.000259473133642696,-2.05341009293603e-05,0.000315703534282192,0.000185126760289471,0.000125764052603964,-2.26458852488885e-05,0.00014606999172024,-0.000942121140679391,0.0012888695980763,-0.000162409991141204,0.00068062274933147,-6.98503168563753e-05,-0.000971230502843209,-0.000128998562720363,0.000691737499459579,-0.000936071470571035,0.000195478495957629,-0.000161141868312453,-0.000279118329414437,0.00125626658296036,0.000553729293136298,-5.92129542861009e-05,0.000425863335470156,2.77111363474962e-06,-7.88227523140916e-05,-0.000456901876180005,-0.000613183108488241,-3.69390191942896e-05,-0.000132873849105574,-0.000568058041744532,-0.000300957713450032,0.000282920144708209,-0.0002304728039213,0.000169950589512223,0.000142933030871292,-3.28605939903206e-05,-6.58054891991201e-05,-8.20182035885841e-05,-3.61459212155993e-06,4.7212951038808e-06,-0.000173524103300918,2.31564040073628e-05,8.55270727767524e-05,-1.8984989858084e-05,2.65233587390618e-05,-0.000169531717895915,2.00275828536103e-08,-1.37378359467206e-05,-3.94593361989472e-05,-4.5431861215809e-05,3.23794874763589e-05,1.75630366317592e-05,-1.24450700210597e-05,2.99561915774913e-17,7.87847798061972e-19,-8.80499133516002e-19
"1465",-0.0298473488168439,-0.00623246946399781,0.00791378065590583,0.00886205584157882,-0.0146119066871644,0.0030066903444845,0.00499571577091186,-0.000665608863832459,0.00402871098375669,0.0132639802466843,0.00533972815237803,0.00345532357049237,-0.00558729604407547,-0.00591804883842038,-0.00209567146401427,0.000358926124269088,0.00326756285832954,0.00167056880330153,0.00159023703399472,-0.0021373845003406,-0.00102487155800482,-0.000396129548844826,-0.00201671093189918,-0.0032221773108165,-0.00407420657594465,-0.00154756749076557,-5.91607568751898e-05,-0.00438363305867575,0.00192133497089103,0.000840347951802482,0.000636332733392308,-0.00154789762156345,0.000516997562977293,0.00130895883176544,0.000653028565436003,0.00111412035596299,0.00170251572384053,0.000578848255555311,0.000918840008163196,0.000653679403278001,-0.000711375480410251,-0.00164366780524671,0.000309399673807933,0.000471239665085321,-0.000332187238704096,-0.000987622385726467,0.000318110227638687,-0.000450385060853414,-0.000272964828882512,0.00074395619097203,0.000121734584604916,5.67916379820808e-05,0.00152854387976319,0.000627241111725889,0.000243969171121028,0.00044402349223756,0.000279762824594523,-0.000273814135245405,-0.000229201521325394,-9.03720143754384e-05,6.47169909733847e-05,0.000435529776796147,-0.000124830438696097,-0.000107432016254603,0.000156406198269572,3.51505174005174e-05,-0.000206780161461736,-3.00724712454346e-06,-0.000136817307655648,-4.61974930069165e-05,5.09606749086454e-05,0.000313495384676387,-1.52860331690802e-05,0.000272894953798655,-0.000112216189330155,-8.57547095653027e-05,-6.2487387275494e-05,6.93952260817369e-05,4.71298231266897e-05,5.91408133266209e-05,-4.42557086699588e-05,5.42263991145981e-06,-8.01604762049387e-05,1.024629584045e-05,2.77695746824038e-05,6.95842923197064e-05,8.21122078170326e-06,-2.36140744979844e-05,-6.84227675841332e-06,-1.9190190889879e-18,-8.14383057590249e-19,-1.68898781031108e-18
"1466",0.046887329506832,-0.0202931517141224,-0.00955994984796949,-0.0141827700491802,0.00699101529784666,-0.00152207262523871,-0.00254288393847436,0.00464973408455938,0.00471995944106503,-0.0036122525574738,-0.00128169342886141,0.000497001478749171,0.00372794021891076,-0.000685655678203727,-0.00124356833885717,-0.00216035960418908,-0.00382533784762302,0.00383927164330927,-0.00147974171327395,0.0021357752300143,-0.00208742383570422,-0.000242024119497948,-0.0016990966034633,0.0012557744287358,9.25007765363717e-07,-0.000342217251937235,-0.000594205927460743,0.000184839547353761,0.00166385106448393,0.00182789914573977,0.000399298553518538,-0.000942266615516154,-0.00112439188081114,0.000447736607214643,-0.00258065542736481,-0.000247684480560782,6.23419498036232e-05,-0.000696937182715593,-6.78492975659822e-06,0.00119755015002884,0.00139849856276713,-0.000261507867063837,-0.00117730414987183,-0.000554504739102154,-0.000447353452261319,-0.000589580889693787,0.000755445373835055,-0.000786210371437863,0.000501131099036682,0.000186247571844785,0.000974726172217321,0.000234088136678349,-0.000770911224769099,-9.75666575437693e-06,0.000418286364164719,-3.52328862059107e-05,-0.0002911043362857,-0.00036185320235025,0.000121405851376212,-0.000599362153266157,-0.000149024608753574,-0.000225731255097044,-0.000242738612187726,-0.000364609596698783,-4.80157714589451e-05,7.68878965252192e-05,-9.83469806195834e-05,0.000360334448444582,1.58104913363506e-06,-9.16783854368278e-05,-0.000657905521383595,-0.000120380334538805,9.57901202992196e-05,0.000279527558922259,-0.000161944749380746,5.79843739613585e-05,-7.46077066588189e-05,0.000209520583728657,8.89536652712054e-05,4.72060652272887e-05,-5.06067271543122e-05,4.36482301978775e-05,-0.000147527207127124,1.56115482293669e-05,2.43820859128393e-05,-2.39905884664745e-05,2.00675270978721e-05,2.19806488555792e-05,1.15520178984782e-05,1.05694699923717e-16,-9.27711114627306e-19,7.26440261511905e-19
"1490",-0.0157807533764633,-0.0190776144392196,0.0136006348238933,-0.0297965185551379,-4.11772715854516e-05,0.0110346765670012,0.0121983886230581,-0.0127618900684994,-0.0031520090983015,-0.00980950298758665,8.50612839268864e-05,-0.00250646845378914,-0.00474492966472889,0.00110462940219437,-0.00333484637094723,-0.00336828173138149,0.000348422503109181,-0.00289208128013022,-0.002653096515857,-0.00269986634847475,-0.000851038950050111,-0.000309945560290128,-0.00141056271473799,-0.000640734529360525,-0.00507662055884974,-0.000907254147028877,0.00102882401696958,0.00109022128174428,-0.000324325256656606,-0.000615886464025994,0.000653001071593221,-0.000682544827230522,-0.000738144665558844,4.10945260743362e-05,-0.00039412928357909,0.00124577266125752,-0.000124218526853129,0.00131482524660819,-0.000624736035155741,-0.000166681093805259,-0.000708059073970611,-0.00141829140239,-0.000383480653343432,0.000802451691752329,-0.000462687707287466,0.000515075162817636,-5.8121129051771e-06,-0.000890081217695113,-0.000283205575807838,-0.000946140911864933,0.000599362324609942,0.00119640364220126,-0.000645847924765838,0.000788635845016618,5.41013152996485e-05,0.000610738782028034,0.000318898256885622,-2.6736935516046e-05,0.000286157840610117,0.000201656385055177,-0.000130322707395314,3.88818947457707e-05,9.52018613655096e-05,0.000116397031524128,0.000405357176235719,0.000186853755282648,0.00014458843454311,4.64652577969395e-05,0.0001269091216405,0.000225098482194753,9.63189741877831e-05,-0.000387688976469948,-0.000307072341539385,-6.70160897903748e-05,8.88120563913814e-05,8.40426866328001e-05,0.000234068938128884,1.27854796702876e-05,-5.81102441375258e-05,-8.71279862399888e-05,6.01622356714131e-05,2.60850912522158e-05,-4.39055833916466e-05,-5.5116003311732e-05,-1.49717686605228e-05,-2.59595398893468e-05,-3.19244983059862e-05,-1.61592118083178e-05,1.66803502471766e-05,3.55949883378103e-17,1.45399367547014e-18,-2.50687481527253e-18
"1492",0.0110181648775586,0.00424227454641698,-0.00624812849779055,-0.00794365022675657,-0.00438149468945198,0.00496490573146568,0.000259700242534214,0.0123788899625131,0.00380929466172561,-0.00876761194664686,-0.00414297638430293,-0.00307765644372649,-0.00322640836847237,0.00670103241814308,-0.00586919447674308,-0.00202103375378866,0.000686145606222434,0.00102225316241502,0.00106316189550993,0.00295107432238337,0.000864779655798887,0.00227268429807123,0.00482688726785719,0.00039321904881517,0.0017104010666262,-0.00214548843635807,0.00194070344446246,-0.00271840082637841,0.00114222854320229,-0.000906903196417562,-0.000618329207571937,-0.00177092467231946,0.000686959328091363,-0.000800664390147552,0.00179253896349563,0.000850743094770832,0.00235126548201887,-0.000831044645325026,0.000321363212031132,0.00158064143117803,-0.000552971407478384,0.000960611788028406,0.000582440364518236,0.000847110647396248,-0.000443377479411106,-0.000133436959664153,-0.000250052668667448,0.00061440180890232,0.00204361453814015,-0.00078257415085453,0.000123375669012552,0.000145072061356094,-5.43995898674692e-05,0.000371885801645273,-0.000111509568434866,0.000579210715647902,7.72592982290168e-05,0.000213893035404973,6.9858207973598e-05,-0.000228167168068764,0.000180820372015514,0.000109512395031664,0.000321518043451988,0.000387784209837088,-8.12968966258706e-05,8.6388875052226e-05,-2.80252494686927e-05,3.82423903274362e-05,-3.59048284175344e-05,0.000151929363907002,-6.34009493023717e-05,-0.000198275244197673,-0.000137955229395992,0.000166473367506132,1.53345590881895e-05,-3.65011491937807e-05,-0.000201994085205982,2.49210403619254e-05,-5.88782365461094e-05,-1.18804763801866e-05,-3.24616783414493e-05,-4.28630630542313e-05,8.73406259044081e-06,6.51934988154347e-05,-6.81813496931773e-05,2.83645374234717e-05,-2.97113104174705e-05,4.76168180942945e-05,1.95297578422464e-05,-1.13840014058645e-17,-4.11190014815197e-19,4.80642781360944e-18
"1493",-0.0245981822691124,0.00657776279537839,-0.0225143617759971,0.0172947968739417,0.00379423319222571,-0.00159490963610408,-0.00214469241622283,-0.00157209673441852,0.00869100864099725,-0.00573169174577069,-0.00183957477539946,-6.55117205855683e-05,0.00696091937871361,0.00345716762800152,0.00909780726939752,0.00488190414703065,-0.0032509748530765,-0.00457441546705005,0.00293577072731452,0.000549904230650213,0.00265720146330249,-0.00545480318153867,-0.00128022784313746,-0.00585597943757824,-0.000151612828092047,-0.00228949186495464,-0.00233268255427377,-0.00129086392082683,0.00355435396309073,-0.000344310789947816,-0.000345813642807778,0.000254089561373677,-0.00203797717466,0.000738176615946174,-0.00118030999023517,0.00158517908083595,-0.000527518511036494,0.000691259196750588,0.0013709684520155,-0.00178280539344482,-0.00183890599409474,0.000637671160697033,0.000405059782411819,0.000312416187821807,-0.000368636657338043,0.000703555085137016,0.000539232236423184,-0.000174885205659086,0.000674039519889302,-0.00106472662836101,-9.33300924923557e-05,9.94677090412641e-05,-0.00049363716778211,-0.000355616133689359,0.000343122813761462,-0.000299700909703644,-8.71223140680838e-06,-0.000268996285103429,0.000213818710979691,0.000103332771397857,-0.000202116699705627,0.000214576070435374,5.28100105999383e-05,0.000385909964023778,-0.000110350991404278,-7.0007770527829e-05,3.52493775226883e-05,-0.000105892533471386,-1.79549799854996e-05,5.25740501585627e-06,-0.000177250571939864,6.65860240222024e-05,-0.000112345122504253,-0.00013268369974279,-6.97537861168897e-06,-8.49864374094766e-05,-8.67061106160877e-05,8.9882510286164e-05,-5.8764575788989e-05,7.4248510226065e-05,5.44964122177472e-05,-3.28378860801409e-05,-7.7107280720673e-05,-4.26818055892655e-07,-4.55545063286034e-05,-5.6245221540461e-06,-1.10076362860673e-05,-1.32283651947625e-05,8.66212505519997e-06,6.19419877116229e-18,8.49462565752382e-19,-3.8465504802091e-18
